Hour,Electric_Load_Watts
0,8438.818565400843
1,4219.4092827004215
2,4219.4092827004215
3,4219.4092827004215
4,8438.818565400843
5,25316.45569620253
6,42194.09282700422
7,67510.54852320674
8,75949.36708860759
9,59071.72995780591
10,50632.91139240506
11,42194.09282700422
12,42194.09282700422
13,42194.09282700422
14,50632.91139240506
15,59071.72995780591
16,67510.54852320674
17,75949.36708860759
18,84388.18565400844
19,67510.54852320674
20,59071.72995780591
21,33755.27426160337
22,16877.637130801686
23,8438.818565400843
