Hour,Thermal_Load_Watts
0,43722.943722943724
1,43722.943722943724
2,43722.943722943724
3,43722.943722943724
4,52467.53246753247
5,87445.88744588745
6,157402.5974025974
7,166147.18614718615
8,139913.4199134199
9,69956.70995670995
10,61212.12121212121
11,52467.53246753247
12,52467.53246753247
13,61212.12121212121
14,61212.12121212121
15,69956.70995670995
16,69956.70995670995
17,87445.88744588745
18,122424.24242424242
19,148658.00865800865
20,157402.5974025974
21,104935.06493506493
22,69956.70995670995
23,52467.53246753247
